Sample,URoAClass,Delta
Sample,Producer,Delta_UroA
WS1-1,Med,596.09
WS2-1,Low,383.14
WS4-1,Low,55.24
WS6-1,Low,40.18
WS7-1,Med,703.59
WS8-1,Low,-144.54
WS9-1,High,12756.13
WS11-1,Med,4738.19
WS12-1,Low,99.81
WS13-1,Med,5798.48
WS14-1,High,13675.85
WS16-1,Med,1021.35
WS17-1,Low,0
WS18-1,High,30895.64
WS20-1,Med,1068.13
WS21-1,High,12646.77
WS22-1,Med,798.42
WS23-1,Low,45.03
WS24-1,Low,0
WS27-1,High,7552.69
WS29-1,Med,2206.25
WS30-1,Med,3008.8
WS31-1,Med,4513.25
WS32-1,High,9223.41
WS33-1,Low,273.24
WS34-1,Low,0
WS36-1,Low,70.2
WS37-1,High,12910.64
WS38-1,High,13025.92
WS39-1,High,24397.62
WS40-1,High,72603.57
WS41-1,Med,1179.96
WS42-1,High,20183.85
WS43-1,High,16311.26
WS44-1,Med,2510.84
WS45-1,Med,5343.57
WS46-1,Med,4637.81
WS47-1,Low,65.82
